Dealer Code,Name,City,State,Latitude,Longitude,Diesel Price
225274,SRI SAI BALAJI FILLING STATION,RAMAYAMPET,Telangana,18.168532,78.549209,96.24
225276,GAGAN SAI FILLING STATION,PANGAL,Telangana,16.256343,78.125218,97.05
225277,SHREE JI FILLING STATION,NISSING,Haryana,29.767905,76.800313,87.62
225278,TAJ PETROLEUM,PRATAPGARH,Uttar Pradesh,25.91976,82.080236,88.31
225279,NAGPAL PETROS,FATEHABAD,Haryana,29.592449,75.522405,88.81
225285,BEHERA FILLING CENTRE,AMATH CHOWK,Odisha,20.28638889,83.30777778,94.17
225286,BHOI FUEL CENTRE,KARLAMUNDA,Odisha,20.356972,83.44826,94.17
225287,RASHMI FILLING STATION,BOLANGIR,Odisha,20.549852,83.417623,94.17
225290,SRI ANNADURAI FUELS,TRICHY,Tamil Nadu,10.813965,78.62992,92.9
225297,SHRI SAI RAGHUNATH SINGH FILLING,SHIKARGADI,Uttar Pradesh,28.050161,78.192314,88.17
225329,VENNELA FILLING STATION,JAGTIAL,Telangana,18.832873,79.186638,96.36
225342,BANSAL PETROLEUM,ACHALPUR,Maharashtra,21.2950714,77.4752567,91.56
225343,SRI MURUGAN AGENCY,THURAIYUR,Tamil Nadu,11.197516,78.611662,93.19
225344,RAMESHWAR PETROLEUM,JAMGAON,Maharashtra,19.064201,74.518739,90.59
225347,SHIVPARVATI FUELS,SHRIGONDA,Maharashtra,18.658177,74.72903,90.97
225348,SRI VENKATESHWARA FILLING STATION,DAMARGIDDA,Telangana,16.814611,77.496093,97.05
225349,RAMA PETROLEUM,KERALA,Gujarat,22.339166,70.612164,89.95
225350,YUVRAJ FUELS,RAJKOT,Gujarat,22.210677,70.7984803,89.98
225351,SWADES FILLING STATION,PS SUTI,West Bengal,24.5165217,88.0089191,92.46
225352,SRI JAGAJYOTI BASAVESHWAR PETROLEUM,GUDGERI,Karnataka,15.128966,75.358482,91.04
225355,AASTHA FILLING STATION,BELDANGA,West Bengal,23.9238255,88.3108068,93.15
225358,SRI GANESH ASSOCIATES,CHENNAI,Tamil Nadu,12.973,80.192,92.49
225365,LOKESH FUELS,VELLORE,Tamil Nadu,12.9452016,79.0204381,93.65
225382,JALADIRDH PETROLEUM,KUNJARAV,Gujarat,22.593268,73.047707,89.85
225384,LONKAR PETROLEUM,PUNE,Maharashtra,18.526552,73.954758,90.28
225385,DAULTI PETROLEUM,GODHRA,Gujarat,22.7374352,73.596067,90.44
225386,AJANTA PETROLEUM,AJANTA,Maharashtra,20.554024,75.7377395,92.02
225387,AARADHYA PETROLEUM,NAGPUR,Maharashtra,21.057827,79.112704,90.61
225388,SHREE HARI PETROLEUM,KOSAMBA,Gujarat,21.44236,72.97681,90.48
225399,K R RATNAKER PETROLEUM,KALWARI KHURD,Uttar Pradesh,25.0,82.0,88.52
225401,VELPARI ENTERPRISES,MUNIYANTHANGAL VILLAGE,Tamil Nadu,12.601705,79.16584,93.75
225402,BB FILLING STATION,TITLAGARH,Odisha,20.232185,83.0793,94.35
225410,SHREE MAHALAXMI PETROLEUM,SHINDHIHATTI VILLAGE,Karnataka,16.1457295,74.662578,91.3
225412,SRI SRI SRI KUNCHAALA TALLI F.S,VISAKHAPATNAM,Andhra Pradesh,22.67309173,82.873695,97.17
225413,REYAAN FUELS,ETAWAH,Uttar Pradesh,26.768097,79.038467,88.23
225414,JAY PARANU BABA FILLING STATION,CHITRAKOOT,Uttar Pradesh,25.172318,81.443851,88.9
225415,DAKSH FILLING STATION,NALAGARH,Himachal Pradesh,31.028688,76.656471,85.8
225417,KNN FILLING STATION,NELLORE,Andhra Pradesh,14.4135,79.9408,97.85
225427,MANGLESHWAR MAHADEV KISAN FILLING S,NIGOH,Uttar Pradesh,25.558187,82.471879,88.89
225428,SHREE KALYAN MATOSHREE FILLING STAT,BAORI JAIPUR,Rajasthan,26.995686,75.695333,90.04
225429,BHARADWAJ FUELS,KATGI,Chhattisgarh,21.6406284,82.5634582,94.33
225435,BVRA FUELS,HYDERABAD,Telangana,17.343328,78.303972,96.08
225441,SHIV SHAKTI PETROLEUM,VALUKAD,Gujarat,21.685404,72.114043,91.33
